,date,name,title,description,link
0,16/10/2020 , [LAND OR],Indicateurs d'activité arrêtés au 30/09/2020,"Malgré la persistance de la crise sanitaire COVID-19 à l’échelle nationale et mondiale, la société Land’Or a pu réaliser une croissance de ses ventes de +15%, au terme des neuf premiers mois de 2020 par rapport à la même période de 2019. Le troisième trimestre 2020 a été marqué par une performance exceptionnelle des ventes àl’export.",http://www.bnacapitaux.com.tn/publications/news/751001_16102020-1.pdf
1,14/10/2020 , [MPBS],Indicateurs d'activité arrêtés au 30/09/2020,"A fin septembre 2020, le chiffre d'affaires s'est établi à 31,7MD en repli de 29,7% par rapport au 30/09/2019.",http://www.bnacapitaux.com.tn/publications/news/762001_14102020-1.pdf
2,14/10/2020 , [Physionomie quotidienne],Veuillez télécharger notre physionomie quotidienne de la séance du 14/10/2020,"La Bourse de Tunis a clôturé la séance sur une note positive de 0,1% pour le Tunindex à 6 662,8 points ramenant ainsi sa performance depuis le début de l'année à -6,4%. Le volume des échanges s'est élevé à 3,609MD.",http://www.bnacapitaux.com.tn/publications/news/other_14102020-1.pdf
3,14/10/2020 , [SOPAT],"AGO pour le 28/10/2020 à 10h00 à l’hôtel IBEROSTAR DIAR ANDALOUS 5*, sis au port Kantaoui- Sousse",Les actionnaires de la Société de Production Agricole Teboulba « SOPAT » sont convoqués à la réunion de l’Assemblée Générale Ordinaire qui se tiendra le 28/10/2020.,http://www.bnacapitaux.com.tn/publications/news/729001_14102020-1.pdf
4,14/10/2020 , [NEW BODY LINE],Indicateurs d'activité arrêtés au 30/09/2020,"A fin septembre 2020, le chiffre d'affaires s'est établi à 3,2MD en repli de 33% par rapport au 30/09/2019.",http://www.bnacapitaux.com.tn/publications/news/754001_14102020-1.pdf
5,14/10/2020 , [OFFICEPLAST],"Distribution d'un dividende de 0,030D par action à partir du 16/10/2020","La société OFFICEPLAST porte à la connaissance de ses actionnaires que son Assemblée Générale Ordinaire réunie le 30 Septembre 2020 a décidé de mettre en paiement les Dividendes de l’exercice 2019 le 16 Octobre 2020, à raison de 30 Millimes par Action, soit en total 294.081,000DT et sont soumis à la retenue à la source.",
6,11/09/2020 , [SFBT],"AGO/AGE pour le mardi 24 novembre 2020, à 9H à l'hôtel Le Palace Gammarth - Les côtes de Carthage - GAMMARTH (salle Sérail) le 24/11/2020","L'AGE statuera sur l'absorption de la Compagnie de Fabrication et de Développement des Boissons ""C.F.D.B."" L'AGO, quant à elle, statuera sur la nomination de deux administrateurs",http://www.bnacapitaux.com.tn/publications/news/110025_1109202017450.pdf
7,13/10/2020 , [BNA],Emission d’un «Emprunt Obligataire Subordonné BNA 2020-1 » de 40MDT susceptible d’être porté à 70MDT sans recours à l’Appel Public à l’Epargne,"Les souscriptions et les versements à cet emprunt seront reçus à partir du 20/10/2020 auprès de BNA Capitaux, Intermédiaire en bourse et seront clôturées au plus tard le 23/11/2020. Les souscriptions peuvent être clôturées sans préavis dès que le montant de 70MDT est intégralement souscrit. Les demandes de souscription seront reçues dans la limite des titres émis, soit un maximum de 700 000 obligations subordonnées.",http://www.bnacapitaux.com.tn/publications/news/310060_13102020-1.pdf
8,14/10/2020 , [ARTES],Nomination d'un nouveau Directeur Général,"La société ARTES informe ses honorables actionnaires que son Conseil d’Administration, lors de sa réunion du 09 octobre 2020, a décidé la nomination de Monsieur Mohamed Lasaad Ben Ammar comme Directeur Général de la société avec les pouvoirs étendus fixés par les lois et par les statuts.",
9,13/10/2020 , [OFFICEPLAST],Information post AGO du 30/09/2020,Les résolutions adoptées par l’Assemblée Générale Ordinaire de OFFICE PLAST - tenue le 30/09/2020.,http://www.bnacapitaux.com.tn/publications/news/770001_13102020-1.pdf
10,13/10/2020 , [ARTES],mise en paiement des dividendes de l'exercice 2019 sera effectuée à partir du 21 octobre au lieu du 18 Novembre2020,"L’Assemblée Générale Ordinaire des actionnaires de la société ARTES réuni le 18 Aout 2020 a décidé de distribuer un dividende de 0,287 dinars par action dont la mise en paiement sera effectuée à partir du 21 octobre au lieu du 18 Novembre2020",http://www.bnacapitaux.com.tn/publications/news/730001_13102020-1.pdf
11,13/10/2020 , [Physionomie quotidienne],Veuillez télécharger notre physionomie quotidienne de la séance du 13/10/2020,"La Bourse de Tunis a clôturé la séance sur une note négative. LeTunindex a cédé 0,04% à 6 655,1 points dans un volume d'échanges de 3,247MD.",http://www.bnacapitaux.com.tn/publications/news/other_13102020-1.pdf
12,13/10/2020 , [BNA],Emission d’un «Emprunt Obligataire Subordonné BNA 2020-1 » de 40MDT susceptible d’être porté à 70MDT sans recours à l’Appel Public à l’Epargne,"Les souscriptions et les versements à cet emprunt seront reçus à partir du 20/10/2020 auprès de BNA Capitaux, Intermédiaire en bourse et seront clôturées au plus tard le 23/11/2020. Les souscriptions peuvent être clôturées sans préavis dès que le montant de 70MDT est intégralement souscrit. Les demandes de souscription seront reçues dans la limite des titres émis, soit un maximum de 700 000 obligations subordonnées.",http://www.bnacapitaux.com.tn/publications/news/310060_13102020-1.pdf
13,13/10/2020 , [SOPAT],Etats financiers annuels au 31/12/2019,"Un résultat net déficitaire au 31/12/2019 de 10,210MD contre un bénéfice de 0,916MD une année auparavant.",http://www.bnacapitaux.com.tn/publications/news/729001_13102020-1.pdf
14,11/09/2020 , [SFBT],"AGO/AGE pour le mardi 24 novembre 2020, à 9H à l'hôtel Le Palace Gammarth - Les côtes de Carthage - GAMMARTH (salle Sérail) le 24/11/2020","L'AGE statuera sur l'absorption de la Compagnie de Fabrication et de Développement des Boissons ""C.F.D.B."" L'AGO, quant à elle, statuera sur la nomination de deux administrateurs",http://www.bnacapitaux.com.tn/publications/news/110025_1109202017450.pdf
15,12/10/2020 , [Physionomie quotidienne],Veuillez télécharger notre physionomie quotidienne de la séance du 12/10/2020,"La Bourse de Tunis a démarré la semaine sur une note négative. LeTunindex a cédé 0,3% à 6 658 points dans un volume d'échanges de 1,334MD..",http://www.bnacapitaux.com.tn/publications/news/other_12102020-1.pdf
16,09/10/2020 , [Physionomie hebdomadaire],Veuillez télécharger notre physionomie hebdomadaire de la semaine du 05 au 09 Octobre 2020,"Le marché boursier a démarré le mois d’octobre sur une note positive avec une variation hebdomadaire de 1,64% ramenant sa performance depuis le début de l’année à -6,3%. Les capitaux échangés se sont élevés à 21,5MD.Le volume quotidien moyen s’est établi à 4,3MD",http://www.bnacapitaux.com.tn/publications/news/other_09102020-1.pdf
17,09/10/2020 , [MAGASIN GENERAL],Les raisons de la baisse significative du résultat net au 30/06/2020,Le Conseil du Marché Financier porte à la connaissance des actionnaires de la société « Magasin Général » et du public qu’il a invité la société concernée à expliquer les raisons de la baisse significative du résultat net au 30/06/2020 ainsi que l’impact de la pandémie COVID-19 sur les états financiers intermédiaires arrêtés au 30 juin 2020 de la société.,http://www.bnacapitaux.com.tn/publications/news/644001_09102020-1.pdf
18,08/10/2020 , [STB],Communiqué de la banque,"Depuis quelques jours, certains sites électroniques ont diffusé des informations, qui ont été relayées par les réseaux sociaux, affirmant que le QatarNational Bank (QNB) s’apprête à travers sa filiale en Tunisie à acquérir 35% du capital social de la Société Tunisienne de Banque (STB).",http://www.bnacapitaux.com.tn/publications/news/260095_08102020-1.pdf
19,08/10/2020 , [EURO-CYCLES],Indicateurs d'activité trimestriels au 30/09/2020,"Le Chiffre d'affaires réalisé au 30 Septembre 2020 s'élève à 82,9MD, en augmentation de 19,7%, par rapport à la même période de 2019.",http://www.bnacapitaux.com.tn/publications/news/757001_08102020-1.pdf
20,08/10/2020 , [SOTUVER],Cotation en Bourse suite à l'augmentation de capital à partir du 09 octobre 2020,"A partir du 09 octobre 2020,les 27 253 600 actions anciennes de la société «SOCIETE SOTUVER» seront négociables en Bourse, droits d’attribution détachés.........",http://www.bnacapitaux.com.tn/publications/news/656001_08102020-1.pdf
21,11/09/2020 , [SFBT],"AGO/AGE pour le mardi 24 novembre 2020, à 9H à l'hôtel Le Palace Gammarth - Les côtes de Carthage - GAMMARTH (salle Sérail) le 24/11/2020","L'AGE statuera sur l'absorption de la Compagnie de Fabrication et de Développement des Boissons ""C.F.D.B."" L'AGO, quant à elle, statuera sur la nomination de deux administrateurs",http://www.bnacapitaux.com.tn/publications/news/110025_1109202017450.pdf
22,13/10/2020 , [BNA],Emission d’un «Emprunt Obligataire Subordonné BNA 2020-1 » de 40MDT susceptible d’être porté à 70MDT sans recours à l’Appel Public à l’Epargne,"Les souscriptions et les versements à cet emprunt seront reçus à partir du 20/10/2020 auprès de BNA Capitaux, Intermédiaire en bourse et seront clôturées au plus tard le 23/11/2020. Les souscriptions peuvent être clôturées sans préavis dès que le montant de 70MDT est intégralement souscrit. Les demandes de souscription seront reçues dans la limite des titres émis, soit un maximum de 700 000 obligations subordonnées.",http://www.bnacapitaux.com.tn/publications/news/310060_13102020-1.pdf
23,08/10/2020 , [Physionomie quotidienne],Veuillez télécharger notre physionomie quotidienne de la séance du 08/10/2020,"La Bourse de Tunis a clôturé la séance sur une note stable à 6 672,5 points dans un volume d'échanges de 4,2MD.",http://www.bnacapitaux.com.tn/publications/news/other_08102020-1.pdf
24,07/10/2020 , [Tunisie],"Moody’s confirme la notation B2 de la Tunisie, mais change les perspectives en négatives","L’agence de notation Moody's a annoncé, dans un communiqué publié ce mercredi 7 octobre 2020, la modification des perspectives de la Tunisie en négatives et ce, tout en confirmant la notation d’émetteur B2.",
25,07/10/2020 , [SOTUVER],Augmentation de capital annoncée,"La Société Tunisienne de Verreries -SOTUVER- porte à la connaissance de ses actionnaires et du public que son Assemblée Générale Extraordinaire, réunie le 23 juillet 2020, a décidé d’augmenter le capital social de la société d’un montant de 5 961 725D par incorporation des réserves spéciales d’investissement constituées en vertu des dispositions de l’article 7 du Code d’Incitations aux Investissements d’un montant de 2 226 650D d’une partie des primes d’émission d’un montant de 3 735 075D.....",http://www.bnacapitaux.com.tn/publications/news/656001_07102020-1.pdf
26,07/10/2020 , [TELNET HOLDING],Etats financiers consolidés arrêtés au 30 juin 2020,"Une belle performance du résultat net part du groupe du premier semestre 2020 de 49,6% à 3,091MD contre 2,065MD une année auparavant.",http://www.bnacapitaux.com.tn/publications/news/744001_07102020-1.pdf
27,06/10/2020 , [[Physionomie quotidienne]],Veuillez télécharger notre physionomie quotidienne de la séance du 06/10/2020,"La bourse de Tunis a clôturé la semaine en vert.Le Tunindex a gagné 0,8% à 6 743,1 points dans un volume d’échanges de 4 MD.",http://www.bnacapitaux.com.tn/publications/news/other_0610202017517.pdf
28,06/10/2020 , [ATELIER MEUBLE INT],Etats financiers semestriels au 30/06/2020,Une décroissance du résultat net de la société Atelier Du Meuble Intérieurs au 30/06/2020 à 181mD contre 1 618mD pour la même période en 2019.,http://www.bnacapitaux.com.tn/publications/news/774001_06102020-1.pdf
29,11/09/2020 , [SFBT],"AGO/AGE pour le mardi 24 novembre 2020, à 9H à l'hôtel Le Palace Gammarth - Les côtes de Carthage - GAMMARTH (salle Sérail) le 24/11/2020","L'AGE statuera sur l'absorption de la Compagnie de Fabrication et de Développement des Boissons ""C.F.D.B."" L'AGO, quant à elle, statuera sur la nomination de deux administrateurs",http://www.bnacapitaux.com.tn/publications/news/110025_1109202017450.pdf
30,13/10/2020 , [BNA],Emission d’un «Emprunt Obligataire Subordonné BNA 2020-1 » de 40MDT susceptible d’être porté à 70MDT sans recours à l’Appel Public à l’Epargne,"Les souscriptions et les versements à cet emprunt seront reçus à partir du 20/10/2020 auprès de BNA Capitaux, Intermédiaire en bourse et seront clôturées au plus tard le 23/11/2020. Les souscriptions peuvent être clôturées sans préavis dès que le montant de 70MDT est intégralement souscrit. Les demandes de souscription seront reçues dans la limite des titres émis, soit un maximum de 700 000 obligations subordonnées.",http://www.bnacapitaux.com.tn/publications/news/310060_13102020-1.pdf
31,06/10/2020 , [Participation Etrangere],Situation de la semaine du 25 septembre au 02 octobre 2020,"Un flux vendeur de 25 000 titres Carthage Cement ramenant le taux de participation des étrangers dans le capital de la société à 1,23%.Un intéressement des investisseurs étrangers suite à l'acquisition de 910 000 titres SAH contre une vente de 6 193 titres portant le taux de participation des étrangers dans le capital de la société à 15,67% contre 15,54% une semaine auparavant.",http://www.bnacapitaux.com.tn/publications/news/other_0610202017515.pdf
32,06/10/2020 , [CARTHAGE CEMENT],Information post AGO & AGE du 28/08/2020,L’assemblée générale ordinaire décide d’affecter le résultat déficitaire de l’exercice 2019 de 381 027 666D en résultats reportés.,http://www.bnacapitaux.com.tn/publications/news/740001_06102020-1.pdf
33,05/10/2020 , [[Physionomie quotidienne],Veuillez télécharger notre physionomie quotidienne de la séance du 05/10/2020,"Après une série de baisses , la bourse de Tunis a démarré la semaine en vert.Le Tunindex a gagné 1,8% à 6 687,2 points dans un volume d’échanges de 5,1 MDT dont la moitié du volume a été accaparé par le titre SFBT.",http://www.bnacapitaux.com.tn/publications/news/other_05102020-1.pdf
34,05/10/2020 , [TELNET HOLDING],Etats financiers semestriels au 30/06/2020,"Le bénéfice du premier semestre 2020 a chuté de 55% à 3,362MDT contre 7,461MDT une année auparavant.",http://www.bnacapitaux.com.tn/publications/news/744001_05102020-1.pdf
35,02/10/2020 , [SIAME],Déclaration des opérations significatives réalisées par Madame Ines BEN AYED,"Madame Ines BEN AYED a renforcé sa position dans le capital de la SIAME par l'acquisition de 22 600 actions au cours de 3,100D en bourse du 29/09/2020 pour un montant de 70 060D.",http://www.bnacapitaux.com.tn/publications/news/659001_02102020-1.pdf
36,02/10/2020 , [SOTETEL],Appel à candidature pour désigner 03 représentants des actionnaires minoritaires devant siéger au Conseil d’Administration,"SOTETEL lance un appel à candidature pour désigner 03 représentants des actionnaires minoritaires, devant siéger dans son Conseil d’Administration. Les documents demandés doivent parvenir au siège social de SOTETEL par porteur, contre décharge du Bureau d’Ordre Central, ou courrier électronique ou postal au plus le 19 octobre 2020 à 16h 30 date limite de réception des candidatures.",http://www.bnacapitaux.com.tn/publications/news/653001_0210202017510.pdf
37,11/09/2020 , [SFBT],"AGO/AGE pour le mardi 24 novembre 2020, à 9H à l'hôtel Le Palace Gammarth - Les côtes de Carthage - GAMMARTH (salle Sérail) le 24/11/2020","L'AGE statuera sur l'absorption de la Compagnie de Fabrication et de Développement des Boissons ""C.F.D.B."" L'AGO, quant à elle, statuera sur la nomination de deux administrateurs",http://www.bnacapitaux.com.tn/publications/news/110025_1109202017450.pdf
38,13/10/2020 , [BNA],Emission d’un «Emprunt Obligataire Subordonné BNA 2020-1 » de 40MDT susceptible d’être porté à 70MDT sans recours à l’Appel Public à l’Epargne,"Les souscriptions et les versements à cet emprunt seront reçus à partir du 20/10/2020 auprès de BNA Capitaux, Intermédiaire en bourse et seront clôturées au plus tard le 23/11/2020. Les souscriptions peuvent être clôturées sans préavis dès que le montant de 70MDT est intégralement souscrit. Les demandes de souscription seront reçues dans la limite des titres émis, soit un maximum de 700 000 obligations subordonnées.",http://www.bnacapitaux.com.tn/publications/news/310060_13102020-1.pdf
